,Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
45292,23,female,41104,bachelor,6,hiking,677,suburban,190,223,summer,0,0,1
5209,47,male,25444,master,0,hiking,3977,suburban,237,293,spring,0,0,1
1011,43,non-binary,54369,master,6,swimming,1318,rural,94,71,fall,0,0,0
8657,44,female,55839,bachelor,7,sunbathing,964,rural,97,281,spring,0,1,0
2824,19,male,118735,high school,2,swimming,1990,urban,250,261,fall,0,1,0
26266,34,female,67775,high school,6,hiking,3918,rural,36,2,spring,1,1,0
5807,49,female,69844,bachelor,1,skiing,2923,suburban,216,148,summer,0,0,0
29760,29,non-binary,54456,doctorate,2,sunbathing,4440,urban,74,265,fall,0,0,0
17787,29,male,22171,master,1,swimming,4747,rural,94,49,spring,1,0,0
1219,55,male,86733,master,7,skiing,1703,suburban,42,149,fall,0,1,1
28826,34,female,51946,master,5,sunbathing,4101,rural,44,246,fall,1,1,0
11760,31,male,27276,high school,0,sunbathing,964,rural,279,35,summer,1,0,0
30418,36,female,75653,doctorate,6,skiing,2492,suburban,90,159,summer,0,1,1
51844,63,male,68201,doctorate,2,sunbathing,2794,suburban,89,177,winter,0,1,0
11826,67,female,21633,master,8,swimming,1643,rural,223,227,summer,0,0,0
37477,61,male,91024,high school,7,hiking,3177,rural,227,286,winter,0,1,1
27062,34,male,80760,doctorate,1,hiking,4475,rural,207,105,fall,1,1,0
14229,56,non-binary,54521,bachelor,6,hiking,2126,suburban,105,127,summer,1,0,1
399,48,non-binary,91135,bachelor,3,hiking,1548,rural,225,221,fall,0,1,0
40143,38,male,24386,doctorate,5,sunbathing,3934,rural,218,179,fall,0,1,0
19031,56,male,110790,doctorate,2,swimming,2469,suburban,278,107,summer,1,1,0
2917,57,male,59017,master,5,swimming,4485,rural,290,2,fall,0,0,0
8307,61,non-binary,101739,doctorate,9,swimming,2777,rural,55,59,winter,0,1,0
29264,28,non-binary,67271,high school,1,sunbathing,1544,rural,175,199,fall,1,1,0
26154,25,male,104221,master,6,hiking,1839,urban,283,252,spring,1,1,0
48674,46,female,48601,bachelor,2,skiing,4014,suburban,167,261,fall,1,0,1
52072,38,non-binary,100497,high school,3,hiking,2056,suburban,148,78,fall,0,1,0
51609,43,female,59884,doctorate,9,swimming,1267,rural,255,264,summer,1,1,0
49432,44,non-binary,115879,high school,7,hiking,1803,rural,223,288,summer,0,1,1
31586,36,female,34378,high school,3,skiing,1260,rural,217,115,summer,1,1,0
309,41,non-binary,38149,high school,2,skiing,1180,rural,265,78,spring,0,0,0
20463,54,male,48495,high school,4,swimming,1104,suburban,243,113,spring,1,1,0
13730,61,male,50558,master,0,hiking,2011,suburban,149,42,summer,0,1,0
20279,41,male,68288,bachelor,8,skiing,3547,rural,270,295,summer,1,1,1
34108,69,female,83722,master,7,skiing,3183,rural,200,117,winter,1,1,0
49374,54,non-binary,82550,doctorate,5,sunbathing,3645,urban,265,146,fall,1,0,0
28688,40,non-binary,28374,doctorate,1,sunbathing,618,urban,112,26,spring,0,0,0
32639,47,non-binary,81518,master,5,swimming,767,rural,133,36,spring,1,0,0
18319,63,male,51691,high school,6,hiking,1335,rural,154,262,fall,0,1,1
28693,42,male,32182,bachelor,0,skiing,4277,urban,212,292,spring,0,0,1
47824,38,non-binary,47004,master,0,sunbathing,2984,urban,59,296,fall,0,0,0
21573,21,male,114016,bachelor,3,swimming,1371,rural,144,103,spring,1,1,0
46009,32,non-binary,24579,bachelor,7,hiking,1040,urban,178,78,summer,0,1,0
48110,69,non-binary,87788,doctorate,0,swimming,826,rural,288,85,winter,1,0,0
10891,50,female,116968,doctorate,2,swimming,628,rural,6,37,winter,0,0,0
34296,25,non-binary,39577,master,1,swimming,3878,suburban,79,106,spring,1,0,0
47364,43,male,80754,master,0,skiing,4482,suburban,170,208,winter,0,1,1
49302,68,female,30190,high school,0,hiking,3676,suburban,277,111,spring,0,0,0
2746,51,female,41267,master,9,hiking,4115,suburban,144,39,fall,0,0,0
33494,39,male,24478,high school,8,swimming,3515,suburban,196,278,winter,0,0,0
27004,27,female,60121,doctorate,3,hiking,4968,rural,263,85,fall,1,1,0
43719,19,female,39417,doctorate,5,hiking,3243,urban,1,236,spring,0,1,1
38079,46,male,56199,doctorate,4,swimming,4420,urban,129,271,spring,1,1,0
36474,25,female,62301,master,3,hiking,1435,urban,184,44,spring,0,0,0
5584,39,female,27458,master,1,sunbathing,3274,urban,213,286,summer,1,0,0
52241,54,female,47074,master,8,sunbathing,3367,rural,4,106,summer,1,0,0
25523,64,female,64639,high school,8,sunbathing,583,suburban,186,68,summer,0,0,0
30765,33,non-binary,95397,bachelor,7,hiking,3304,suburban,218,171,summer,1,1,0
23673,21,male,95460,bachelor,2,swimming,3020,suburban,34,100,winter,1,1,0
34979,43,male,93502,high school,0,hiking,2211,suburban,177,224,summer,1,0,1
11496,27,male,100245,doctorate,0,swimming,1330,urban,167,165,fall,1,1,0
15449,22,male,103383,bachelor,1,swimming,2273,suburban,55,165,winter,0,0,0
19094,54,male,113748,bachelor,5,hiking,746,suburban,127,288,summer,1,1,1
10470,60,male,99361,doctorate,2,skiing,2179,suburban,297,286,winter,0,0,0
34381,36,male,92807,doctorate,8,sunbathing,3367,rural,102,6,winter,0,1,0
19937,34,female,30862,high school,9,sunbathing,1123,suburban,54,231,fall,1,0,0
21144,42,male,42195,master,0,swimming,1041,suburban,270,245,winter,1,1,0
46777,43,male,70142,master,0,swimming,3188,suburban,218,134,summer,0,0,0
50008,23,female,99296,master,3,sunbathing,1223,suburban,262,232,fall,0,0,0
32874,25,male,79613,doctorate,9,skiing,4851,suburban,172,130,fall,0,0,0
7756,32,female,116867,high school,3,skiing,729,rural,75,16,fall,1,1,0
24388,26,non-binary,43172,doctorate,3,hiking,3342,suburban,289,267,summer,0,0,0
48117,28,non-binary,95829,master,0,swimming,1358,suburban,161,111,winter,0,0,0
13011,41,female,93916,doctorate,6,skiing,1989,urban,201,93,summer,1,1,0
10650,66,male,117186,bachelor,3,swimming,1414,suburban,265,73,spring,1,0,0
26502,26,female,103720,master,5,hiking,1492,rural,156,20,fall,0,1,0
20514,27,female,28060,master,6,skiing,2446,urban,2,26,winter,0,0,1
1337,43,non-binary,20219,doctorate,3,swimming,4789,urban,109,199,summer,0,0,0
27786,59,male,103655,master,1,hiking,3256,suburban,268,97,spring,1,0,0
23716,29,female,26426,master,1,hiking,1442,urban,228,67,fall,1,1,0
7071,39,male,69317,doctorate,6,hiking,4018,suburban,73,131,winter,0,1,1
29921,50,female,53952,master,7,swimming,1471,suburban,253,1,winter,1,0,0
12948,67,female,80181,bachelor,4,swimming,2033,rural,204,298,winter,1,1,0
39359,35,male,87306,high school,9,skiing,4948,rural,99,175,summer,1,1,1
27709,69,male,95674,master,3,swimming,2072,urban,178,252,fall,1,1,0
1209,54,male,109403,high school,0,hiking,2097,suburban,184,259,summer,1,0,1
3491,68,male,86321,master,7,swimming,562,urban,163,255,fall,1,1,0
44420,47,non-binary,77084,doctorate,6,skiing,2275,rural,161,124,fall,1,1,0
3407,20,non-binary,85916,high school,9,swimming,1263,rural,13,102,fall,1,0,0
6958,54,non-binary,77430,high school,5,skiing,4588,urban,54,175,spring,1,0,1
38382,28,non-binary,46389,high school,4,sunbathing,525,suburban,28,208,spring,1,1,0
46748,34,female,112345,bachelor,1,skiing,4727,suburban,294,174,summer,0,0,0
47441,28,female,46603,doctorate,7,hiking,2588,suburban,80,146,winter,0,1,1
21379,69,non-binary,100669,master,7,hiking,2668,urban,246,102,spring,0,0,0
7875,55,female,79071,bachelor,9,skiing,1956,rural,161,84,fall,1,0,0
361,38,non-binary,43847,bachelor,9,hiking,2053,rural,220,8,spring,1,0,0
27594,45,female,73168,high school,1,hiking,2362,rural,107,31,winter,1,0,0
20102,64,non-binary,116547,doctorate,4,hiking,4892,rural,212,257,fall,0,1,1
44085,33,male,39067,bachelor,3,hiking,2241,rural,217,4,winter,1,1,0
11515,59,male,25589,master,1,skiing,3708,urban,115,72,summer,1,0,0
27466,22,female,42206,high school,6,swimming,3840,rural,279,173,spring,1,0,0
5023,32,non-binary,32163,master,3,sunbathing,1153,suburban,26,122,fall,0,0,0
8235,59,male,69247,doctorate,7,swimming,2262,rural,293,1,spring,1,1,0
48273,58,male,43499,master,0,swimming,2383,rural,210,261,summer,1,1,0
28904,20,male,24782,doctorate,3,skiing,3536,urban,249,79,summer,1,0,0
20393,49,non-binary,101324,bachelor,2,swimming,1254,rural,55,265,summer,1,1,0
14225,61,male,48152,doctorate,9,skiing,663,urban,56,137,summer,1,1,1
22477,51,non-binary,37117,master,9,sunbathing,1152,suburban,206,72,fall,0,1,0
30136,25,non-binary,32608,doctorate,5,swimming,2651,suburban,87,211,summer,1,1,0
7755,61,non-binary,78405,master,5,skiing,3040,rural,158,182,spring,1,0,1
50920,60,female,88550,master,8,swimming,4612,urban,295,87,winter,0,0,0
33011,67,female,63140,doctorate,7,hiking,3517,rural,102,281,summer,0,0,1
11244,49,female,75314,bachelor,0,swimming,4357,urban,188,125,winter,1,1,0
22773,42,non-binary,49889,master,7,hiking,4637,urban,156,7,fall,0,1,0
1418,49,male,70380,doctorate,0,swimming,4420,rural,57,247,summer,1,0,0
51151,26,non-binary,109561,bachelor,3,skiing,4282,suburban,79,86,spring,1,0,1
14639,40,female,107263,doctorate,1,swimming,2806,rural,272,77,summer,1,1,0
26050,42,male,98879,high school,9,swimming,2155,urban,249,260,fall,0,0,0
9447,36,male,77737,doctorate,3,skiing,4307,suburban,243,185,winter,1,0,0
44544,53,male,116607,doctorate,8,skiing,3061,urban,168,274,fall,0,1,1
35133,25,female,104572,bachelor,6,sunbathing,1926,suburban,99,71,fall,0,0,0
14762,67,male,21536,high school,6,skiing,3721,urban,37,124,spring,1,1,1
32193,50,non-binary,76342,doctorate,2,skiing,4252,suburban,56,27,fall,1,1,0
25906,45,non-binary,67425,master,9,hiking,2072,urban,235,24,winter,0,1,0
50816,62,male,66725,high school,0,swimming,705,urban,284,212,winter,1,0,0
26315,63,non-binary,38510,bachelor,0,hiking,2762,suburban,232,186,summer,1,0,0
19207,48,male,56317,high school,7,skiing,3484,urban,94,96,summer,0,1,1
38316,31,non-binary,34397,high school,4,sunbathing,916,rural,280,162,summer,0,0,0
5391,59,male,35387,doctorate,3,skiing,2703,rural,171,243,winter,0,1,1
2040,58,male,30432,doctorate,3,swimming,3639,rural,73,1,fall,0,0,0
50874,63,non-binary,43566,bachelor,4,swimming,1312,rural,239,49,summer,0,0,0
16495,44,female,26669,bachelor,6,skiing,2256,suburban,215,173,spring,0,0,0
12637,45,male,63772,doctorate,2,skiing,627,suburban,70,223,summer,1,1,1
46,56,non-binary,97682,doctorate,6,swimming,553,rural,231,250,winter,1,1,0
1552,22,male,111696,master,7,sunbathing,2081,rural,200,107,summer,1,0,0
18603,53,male,108812,doctorate,0,sunbathing,2552,suburban,118,59,summer,1,1,0
34246,57,female,77351,master,7,sunbathing,4213,urban,219,116,spring,1,1,0
21291,60,female,116357,bachelor,1,swimming,3640,rural,255,214,winter,1,0,0
19536,34,female,57993,master,3,sunbathing,2754,urban,181,108,summer,0,1,0
40456,65,male,35781,master,6,hiking,2482,rural,239,268,winter,0,0,1
46886,69,male,27582,master,3,swimming,777,suburban,188,211,fall,1,0,0
51202,61,female,84963,bachelor,1,sunbathing,2172,urban,260,47,winter,1,0,0
14098,19,male,64436,bachelor,1,hiking,1688,urban,42,267,spring,0,0,1
43271,66,male,21221,bachelor,0,hiking,4704,rural,115,42,fall,0,1,0
39838,47,female,40301,high school,7,swimming,3636,rural,7,1,spring,0,0,0
8709,60,female,77237,bachelor,8,skiing,627,urban,81,62,spring,0,0,0
6540,28,non-binary,104472,master,9,sunbathing,4550,suburban,24,165,spring,0,0,0
39593,26,male,80721,high school,3,swimming,3208,urban,87,34,fall,1,0,0
13117,45,female,60412,high school,7,swimming,2764,rural,65,117,spring,1,1,0
1755,23,non-binary,30892,doctorate,3,swimming,3316,rural,49,14,fall,0,1,0
14860,44,non-binary,78754,high school,3,sunbathing,857,urban,21,142,fall,0,1,0
12511,60,female,22631,high school,7,skiing,3665,rural,98,92,summer,0,0,0
43663,39,male,116020,bachelor,5,sunbathing,2894,rural,113,153,winter,1,0,0
17703,53,male,50214,doctorate,4,skiing,4140,rural,101,19,winter,1,1,0
48610,27,female,28636,master,3,sunbathing,1706,urban,276,216,fall,1,0,0
30176,41,male,23313,bachelor,3,hiking,4907,suburban,258,180,fall,1,0,0
39968,46,non-binary,92561,master,3,skiing,4451,urban,236,73,fall,0,0,0
